iter	Passed	Remaining
0	153	30543
1	157	15550
2	161	10590
3	164	8076
4	169	6592
5	172	5586
6	176	4865
7	180	4333
8	184	3920
9	188	3583
10	192	3303
11	195	3067
12	199	2874
13	203	2706
14	207	2557
15	212	2438
16	216	2328
17	220	2231
18	224	2137
19	228	2054
20	233	1989
21	237	1918
22	241	1857
23	245	1798
24	249	1747
25	253	1693
26	257	1647
27	261	1603
28	265	1565
29	269	1525
30	273	1489
31	277	1455
32	281	1422
33	285	1391
34	288	1360
35	292	1333
36	296	1306
37	300	1282
38	304	1257
39	308	1235
40	312	1211
41	316	1189
42	319	1166
43	323	1146
44	327	1129
45	333	1116
46	337	1097
47	346	1097
48	351	1084
49	356	1069
50	362	1058
51	367	1047
52	373	1035
53	379	1025
54	383	1010
55	387	995
56	391	980
57	394	965
58	398	951
59	401	937
60	405	924
61	410	913
62	413	899
63	417	887
64	422	876
65	425	864
66	428	851
67	432	839
68	436	828
69	440	817
70	443	805
71	447	795
72	450	783
73	454	773
74	457	763
75	461	753
76	464	742
77	469	733
78	472	723
79	475	713
80	479	704
81	482	694
82	487	686
83	490	677
84	495	670
85	499	661
86	504	654
87	508	646
88	511	638
89	515	630
90	519	622
91	523	614
92	526	605
93	530	597
94	534	590
95	537	582
96	540	574
97	543	566
98	547	558
99	551	551
100	555	544
101	558	536
102	561	529
103	565	522
104	569	515
105	572	508
106	576	500
107	579	493
108	583	487
109	587	480
110	591	474
111	595	468
112	602	463
113	605	456
114	609	450
115	612	443
116	616	437
117	619	430
118	623	424
119	626	417
120	631	412
121	634	405
122	637	398
123	640	392
124	644	386
125	648	380
126	651	374
127	655	368
128	658	362
129	663	357
130	666	350
131	669	345
132	673	339
133	677	333
134	680	327
135	684	322
136	687	316
137	691	310
138	695	305
139	699	299
140	702	294
141	706	288
142	710	283
143	713	277
144	717	272
145	720	266
146	724	261
147	727	255
148	731	250
149	734	244
150	737	239
151	741	234
152	744	228
153	748	223
154	751	218
155	755	212
156	759	207
157	762	202
158	765	197
159	769	192
160	773	187
161	776	182
162	780	177
163	783	171
164	786	166
165	790	161
166	794	157
167	797	151
168	801	147
169	805	142
170	808	137
171	812	132
172	815	127
173	818	122
174	823	117
175	826	112
176	829	107
177	833	102
178	836	98
179	840	93
180	843	88
181	847	83
182	850	79
183	854	74
184	857	69
185	861	64
186	864	60
187	868	55
188	871	50
189	874	46
190	878	41
191	881	36
192	885	32
193	888	27
194	891	22
195	894	18
196	898	13
197	901	9
198	905	4
199	908	0
